system_name,vendor,category,protocol,sector,description,os_firmware,known_software,cpe_id
Airfield Lighting Control,ADB SAFEGATE/Honeywell,signaling,Serial/IP,aviation-ground,Centralized system controlling runway taxiway and approach lighting intensity and patterns,Linux (embedded); Windows Server (ALCMS),ADB SAFEGATE CORTEX ALCMS; ACE3 distributed control; Honeywell NAVITAS; L-890 FAA,N/A
Airport Docking Guidance System,ADB SAFEGATE,signaling,IP/serial,aviation-ground,Visual guidance displays at gates directing pilots during final approach to parking position,Linux (embedded); Windows (management),ADB SAFEGATE Safedock X/FleX (A-VDGS); infrared laser/3D scanning; CORTEX Cloud,N/A
Airport Access Control System,SITA/HID Global,access-control,RFID/biometric/IP,aviation-ground,Biometric and credential-based access management for secure areas of airport ground operations,Windows Server; Linux,Cisco ISE; .NET/Java; SQL Server/PostgreSQL; RFID/biometric SDKs; OSDP; OpenSSL,N/A
Airside Vehicle Tracking,ADB SAFEGATE/Assaia,fleet-management,GPS/ADS-B/IP,aviation-ground,Real-time tracking of ground support equipment and vehicles on airport ramp and taxiways,Windows Server; Linux,Assaia ApronAI (Python/ML); PostgreSQL; SafeControl SAM platform; computer vision,N/A
Airport Fuel Hydrant SCADA,Honeywell/Emerson,power-systems,Modbus/OPC UA,aviation-ground,Monitoring and control of underground fuel hydrant system including valve positions and flow rates,Windows Server,Honeywell Experion PKS; Emerson DeltaV; OPC UA/Modbus stack; MS SQL Server/Oracle,cpe:2.3:a:honeywell:experion_process_knowledge_system:*:*:*:*:*:*:*:*
Industrial Ethernet Switches (Rail-Certified),Hirschmann/Moxa,network-infrastructure,Ethernet/PROFINET,railroad,Ruggedized managed switches with EN 50155 certification for onboard and wayside data networks,HiOS/HiEOS (Hirschmann); MIL Linux (Moxa),GoAhead web server; OpenSSL; SNMP stack; PROFINET/EtherNet-IP; RSTP/MRP,cpe:2.3:o:moxa:eds-408a_firmware:*:*:*:*:*:*:*:* | cpe:2.3:o:belden:hirschmann_firmware:*:*:*:*:*:*:*:*
Railway Cybersecurity Gateway,Cylus/Cervello,network-infrastructure,IP/deep packet inspection,railroad,Network monitoring and anomaly detection appliance purpose-built for rail OT environments,Linux (hardened; duagon D527),CylusOne platform; deep packet inspection engine; OpenSSL; IEC 62443,N/A
Operational Technology Firewall,Claroty/Nozomi Networks,network-infrastructure,IP/deep packet inspection,metro,Industrial firewall providing protocol-aware filtering and visibility for OT network segments,Linux (hardened N2OS for Nozomi),Nozomi Guardian; Claroty xDome; DPI engine; 500+ industrial protocol parsers; OpenSSL; PostgreSQL,cpe:2.3:a:nozominetworks:guardian:*:*:*:*:*:*:*:*
Data Diode (Unidirectional Gateway),Waterfall Security/Owl Cyber Defense,network-infrastructure,Hardware-enforced unidirectional,railroad,One-way data transfer device ensuring physical isolation of safety-critical networks from IT systems,Linux (hardened CIS-benchmarked),OPDS-Talon; proprietary segmentation/reassembly ASIC; OPC UA/Modbus replicators; OpenSSL,N/A
Onboard Train Control Network,Duagon/Moxa,network-infrastructure,TCN/Ethernet (IEC 61375),railroad,Standardized consist and train-level communication backbone connecting onboard subsystems,VxWorks/QNX/Linux (dual-OS capable),IEC 61375 TCN stack; TRDP protocol; PikeOS/GreenHills Integrity; Moxa Industrial Linux,N/A
Wayside Communication Network,Cisco/Nokia,network-infrastructure,MPLS/IP/fiber,railroad,Fiber-optic backbone along rail corridors connecting wayside equipment to central control systems,Cisco IOS-XR; Nokia SR OS,MPLS/RSVP-TE stack; BGP; SNMP; OpenSSL; OSPF/IS-IS; segment routing,cpe:2.3:o:cisco:ios_xr:*:*:*:*:*:*:*:* | cpe:2.3:o:nokia:service_router_operating_system:*:*:*:*:*:*:*:*
Safety PLC (SIL4),Siemens/HIMA/Pilz,signaling,PROFINET/ProfiSafe,railroad,Safety integrity level 4 programmable logic controllers used in vital signaling and interlocking applications,ADONIS RTOS (Siemens S7-1500F); proprietary safety RTOS (HIMA/Pilz),STEP 7 Safety; PROFINET/ProfiSafe; HIMA HIMax/HIMatrix; Pilz PAS4000; IEC 61508,cpe:2.3:o:siemens:simatic_s7-1500_firmware:*:*:*:*:*:*:*:*
Remote Diagnostics Platform (PHM),Siemens Railigent/Alstom HealthHub,fleet-management,IP/MQTT/cellular,railroad,Predictive health monitoring platform aggregating sensor data from fleet for condition-based maintenance,Cloud (Azure MindSphere / AWS),Siemens MindSphere; Alstom HealthHub; MQTT broker; Apache Kafka; Python analytics,N/A
Digital Twin Platform (Rail),Siemens/Bentley Systems,fleet-management,IP/OPC UA,railroad,Virtual replica of physical rail infrastructure enabling simulation planning and predictive analysis,Cloud (Microsoft Azure),Bentley iTwin (iModel.js/.NET); Siemens MindSphere; OPC UA stack; Azure IoT Hub,N/A
Yard Automation System,Wabtec/Alstom,fleet-management,Radio/IP,freight,Automated hump yard classification system controlling retarders switches and car routing,Windows Server; Linux,Java; Oracle DB; cloud-native containers; radio communication stack,N/A
